epoch,accuracy,loss,lr,top3_accuracy,top5_accuracy,val_accuracy,val_loss,val_top3_accuracy,val_top5_accuracy
0,0.0090646892786026,5.466976165771484,0.001,0.023485785350203514,0.039142973721027374,0.011111111380159855,5.173478603363037,0.03580246865749359,0.0604938268661499
1,0.008240626193583012,5.204342365264893,0.001,0.0317264124751091,0.04655953869223595,0.01975308731198311,5.104104995727539,0.04814814776182175,0.08271604776382446
2,0.008652657270431519,5.092703819274902,0.001,0.032550472766160965,0.06056860461831093,0.025925925001502037,4.934412002563477,0.051851850003004074,0.08641975373029709
3,0.02224969118833542,4.9107890129089355,0.001,0.05603625997900963,0.08323032408952713,0.02222222276031971,4.678224086761475,0.07037036865949631,0.11728394776582718
4,0.025545941665768623,4.746860504150391,0.001,0.07375360280275345,0.11372064054012299,0.03580246865749359,4.451155662536621,0.10000000149011612,0.14938271045684814
5,0.03378656879067421,4.601174354553223,0.001,0.07457766681909561,0.11536876857280731,0.043209876865148544,4.2401838302612305,0.13456790149211884,0.20370370149612427
6,0.030078286305069923,4.405926704406738,0.001,0.09353110939264297,0.14874330163002014,0.07037036865949631,4.080078601837158,0.1469135731458664,0.23086419701576233
7,0.048619695007801056,4.322697639465332,0.001,0.11248455196619034,0.16728471219539642,0.06296296417713165,3.965444564819336,0.1814814805984497,0.2567901313304901
8,0.046147506684064865,4.224523544311523,0.001,0.1133086085319519,0.17799752950668335,0.08395061641931534,3.8839075565338135,0.202469140291214,0.2888889014720917
9,0.05150391533970833,4.116052150726318,0.001,0.13267408311367035,0.21054799854755402,0.0962962955236435,3.7762153148651123,0.2271604984998703,0.3283950686454773
10,0.05686032027006149,4.0133891105651855,0.001,0.14874330163002014,0.22332097589969635,0.10864197462797165,3.670093059539795,0.25061729550361633,0.34567901492118835
11,0.06304079294204712,3.90753436088562,0.001,0.17552533745765686,0.2533992528915405,0.10864197462797165,3.6447503566741943,0.2370370328426361,0.31604939699172974
12,0.06922125816345215,3.864943504333496,0.001,0.18046972155570984,0.2628759741783142,0.12345679104328156,3.561095714569092,0.26543208956718445,0.36543211340904236
13,0.07828594744205475,3.7497642040252686,0.001,0.18994644284248352,0.2863617539405823,0.13209876418113708,3.437741756439209,0.31111112236976624,0.42098766565322876
14,0.08899876475334167,3.697420835494995,0.001,0.21466831862926483,0.30696332454681396,0.13827160000801086,3.3927462100982666,0.297530859708786,0.4148148000240326
15,0.09270704537630081,3.6332781314849854,0.001,0.23238566517829895,0.3312731683254242,0.1518518477678299,3.27662992477417,0.3530864119529724,0.45679011940956116
16,0.09600329399108887,3.5720362663269043,0.001,0.23733003437519073,0.35269880294799805,0.1567901223897934,3.2931132316589355,0.36172839999198914,0.4740740656852722
17,0.11001235991716385,3.453415870666504,0.001,0.2612278461456299,0.3737123906612396,0.18888889253139496,3.167908191680908,0.38148146867752075,0.4962962865829468
18,0.11742892116308212,3.4206748008728027,0.001,0.2723526954650879,0.3967861533164978,0.21111111342906952,3.105769157409668,0.39753085374832153,0.5135802626609802
19,0.12978985905647278,3.299988269805908,0.001,0.30490317940711975,0.42562833428382874,0.21975308656692505,2.9753575325012207,0.4197530746459961,0.5407407283782959
20,0.13720642030239105,3.239300012588501,0.001,0.3226205110549927,0.45241037011146545,0.2320987582206726,2.9169912338256836,0.4407407343387604,0.575308620929718
21,0.15245158970355988,3.134352207183838,0.001,0.3469303548336029,0.47713226079940796,0.20123456418514252,2.9060750007629395,0.4382716119289398,0.5666666626930237
